,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
0,2023-06-30,20:00,Liga MX,Apertura 2023 Regular Season,Fri,Home,L,1.0,2.0,FC Juárez,0.9,0.7,61.0,13391.0,Miguel Layún,4-2-3-1,Ismael Lopez,Match Report,,14,3,21.8,2.0,0,0,2024,America
1,2023-07-15,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,3.0,0.0,Puebla,3.6,0.9,60.0,32294.0,Miguel Layún,4-2-3-1,Víctor Cáceres,Match Report,,21,8,13.9,1.0,0,0,2024,America
2,2023-08-20,22:10,Liga MX,Apertura 2023 Regular Season,Sun,Home,D,1.0,1.0,Atlas,1.8,0.9,64.0,17046.0,Diego Valdés,4-2-3-1,Adonai Escobedo,Match Report,,13,4,12.0,1.0,0,0,2024,America
3,2023-08-23,20:00,Liga MX,Apertura 2023 Regular Season,Wed,Home,W,3.0,2.0,Necaxa,2.4,0.6,70.0,19085.0,Álvaro Fidalgo,4-2-3-1,Marco Ortíz,Match Report,,20,10,14.5,0.0,0,0,2024,America
4,2023-08-26,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Home,D,1.0,1.0,León,1.6,0.7,54.0,30701.0,Jonathan dos Santos,4-2-3-1,Óscar Macias,Match Report,,9,2,18.8,0.0,1,1,2024,America
5,2023-09-02,22:10,Liga MX,Apertura 2023 Regular Season,Sat,Away,W,3.0,2.0,Cruz Azul,0.6,1.2,48.0,36500.0,Jonathan dos Santos,4-2-3-1,Daniel Quintero,Match Report,,7,3,20.4,0.0,0,0,2024,America
6,2023-09-16,22:10,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,4.0,0.0,Guadalajara,1.3,0.4,53.0,62514.0,Jonathan dos Santos,4-2-3-1,Fernando Guerrero,Match Report,,14,6,16.1,0.0,0,0,2024,America
7,2023-09-20,21:06,Liga MX,Apertura 2023 Regular Season,Wed,Away,W,2.0,1.0,Querétaro,1.0,0.8,67.0,31296.0,Diego Valdés,4-2-3-1,Diego Montaño,Match Report,,16,6,22.1,3.0,0,0,2024,America
8,2023-09-24,13:00,Liga MX,Apertura 2023 Regular Season,Sun,Away,D,1.0,1.0,Toluca,2.0,1.5,51.0,27273.0,Jonathan dos Santos,4-2-3-1,Adonai Escobedo,Match Report,,15,4,16.7,0.0,0,0,2024,America
9,2023-09-30,19:40,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,1.0,0.0,UNAM,1.9,0.6,49.0,62707.0,Henry Martín,4-4-2,Víctor Cáceres,Match Report,,12,5,17.8,1.0,0,1,2024,America
10,2023-10-03,22:00,Liga MX,Apertura 2023 Regular Season,Tue,Home,W,4.0,0.0,Pachuca,2.9,0.7,62.0,30479.0,Henry Martín,4-2-3-1,Marco Antonio Ortíz,Match Report,,15,11,14.5,1.0,0,0,2024,America
11,2023-10-06,21:00,Liga MX,Apertura 2023 Regular Season,Fri,Away,W,2.0,1.0,Mazatlán,2.3,0.5,60.0,18000.0,Diego Valdés,4-2-3-1,Oscar Mejia,Match Report,,17,8,15.4,0.0,0,0,2024,America
12,2023-10-21,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,4.0,3.0,Santos,3.1,0.9,60.0,39968.0,Henry Martín,4-2-3-1,César Arturo Ramos,Match Report,,20,12,18.1,2.0,1,1,2024,America
13,2023-10-28,22:10,Liga MX,Apertura 2023 Regular Season,Sat,Away,W,3.0,0.0,Monterrey,1.0,0.7,61.0,47177.0,Henry Martín,4-2-3-1,Adonai Escobedo,Match Report,,11,3,19.3,0.0,0,0,2024,America
14,2023-11-01,21:00,Liga MX,Apertura 2023 Regular Season,Wed,Away,W,1.0,0.0,Atlético,1.1,0.8,47.0,22584.0,Henry Martín,4-3-3,Edgar Morales,Match Report,,8,2,13.5,0.0,0,0,2024,America
15,2023-11-04,19:00,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,3.0,0.0,Tijuana,3.4,0.2,47.0,46046.0,Henry Martín,4-4-2,Oscar Mejia,Match Report,,19,8,14.3,0.0,0,0,2024,America
16,2023-11-11,21:10,Liga MX,Apertura 2023 Regular Season,Sat,Away,D,0.0,0.0,UANL,1.0,0.7,46.0,36783.0,Henry Martín,4-2-3-1,Diego Montaño,Match Report,,7,3,14.3,0.0,0,0,2024,America
17,2023-11-29,19:06,Liga MX,Apertura — Quarter-finals,Wed,Away,D,2.0,2.0,León,2.2,1.3,59.0,25823.0,Henry Martín,4-2-3-1,Marco Antonio Ortíz,Match Report,Leg 1 of 2,15,6,17.3,0.0,0,0,2024,America
18,2023-12-02,19:00,Liga MX,Apertura — Quarter-finals,Sat,Home,W,2.0,0.0,León,2.3,0.3,51.0,65000.0,Henry Martín,4-2-3-1,Fernando Guerrero,Match Report,Leg 2 of 2; América won,15,3,24.7,0.0,1,1,2024,America
19,2023-12-06,21:00,Liga MX,Apertura — Semi-finals,Wed,Away,W,5.0,0.0,Atlético,2.7,1.0,50.0,22589.0,Henry Martín,4-4-2,Adonai Escobedo,Match Report,Leg 1 of 2,15,9,15.2,0.0,0,0,2024,America
20,2023-12-09,20:00,Liga MX,Apertura — Semi-finals,Sat,Home,L,0.0,2.0,Atlético,0.2,2.0,46.0,57964.0,Henry Martín,4-4-2,César Arturo Ramos,Match Report,Leg 2 of 2; América won,4,1,18.7,0.0,0,0,2024,America
21,2023-12-14,21:00,Liga MX,Apertura — Finals,Thu,Away,D,1.0,1.0,UANL,1.7,0.6,46.0,41615.0,Henry Martín,4-4-2,Marco Antonio Ortíz,Match Report,Leg 1 of 2,11,1,25.3,1.0,1,1,2024,America
22,2023-12-17,19:30,Liga MX,Apertura — Finals,Sun,Home,W,3.0,0.0,UANL,2.1,0.7,60.0,74957.0,Henry Martín,4-2-3-1,Adonai Escobedo,Match Report,Leg 2 of 2; América won; Required Extra Time,18,7,17.8,1.0,0,0,2024,America
23,2024-01-13,19:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,W,2.0,0.0,Tijuana,0.4,2.2,37.0,31133.0,Israel Reyes,5-3-2,Edgar Morales,Match Report,,6,4,16.9,0.0,0,0,2024,America
24,2024-01-20,19:05,Liga MX,Clausura 2024 Regular Season,Sat,Home,W,2.0,0.0,Querétaro,2.3,0.2,72.0,,Henry Martín,4-2-3-1,Maximiliano Quintero,Match Report,,15,6,19.3,1.0,0,0,2024,America
25,2024-01-24,20:06,Liga MX,Clausura 2024 Regular Season,Wed,Away,W,2.0,0.0,FC Juárez,2.2,1.3,64.0,,Álvaro Fidalgo,4-2-3-1,Luis Enrique Santander,Match Report,,15,6,15.4,0.0,0,0,2024,America
26,2024-01-27,21:05,Liga MX,Clausura 2024 Regular Season,Sat,Away,D,0.0,0.0,Necaxa,0.6,0.6,69.0,20837.0,Henry Martín,4-3-3,Diego Montaño,Match Report,,11,1,12.9,0.0,0,0,2024,America
27,2024-02-03,21:10,Liga MX,Clausura 2024 Regular Season,Sat,Home,D,1.0,1.0,Monterrey,1.2,0.7,50.0,,Jonathan dos Santos,4-2-3-1,César Arturo Ramos,Match Report,,7,3,12.6,0.0,0,0,2024,America
28,2024-02-10,19:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,W,1.0,0.0,León,2.5,1.1,59.0,,Jonathan dos Santos,4-2-3-1,Marco Antonio Ortíz,Match Report,,19,5,18.5,1.0,1,1,2024,America
29,2024-02-17,19:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,L,1.0,2.0,Pachuca,1.2,1.9,60.0,18143.0,Jonathan dos Santos,4-3-3,Víctor Cáceres,Match Report,,9,3,17.7,0.0,0,0,2024,America
30,2024-02-21,21:00,Liga MX,Clausura 2024 Regular Season,Wed,Home,D,2.0,2.0,Mazatlán,2.4,1.5,57.0,,Henry Martín,4-2-3-1,Ismael Lopez,Match Report,,16,4,13.2,0.0,0,0,2024,America
31,2024-02-24,21:10,Liga MX,Clausura 2024 Regular Season,Sat,Home,W,1.0,0.0,Cruz Azul,0.9,0.7,29.0,,Henry Martín,4-2-3-1,Oscar Mejia,Match Report,,7,4,26.2,0.0,0,0,2024,America
32,2024-03-02,21:10,Liga MX,Clausura 2024 Regular Season,Sat,Away,W,5.0,1.0,Atlas,4.9,1.0,60.0,,Henry Martín,4-2-3-1,Fernando Guerrero,Match Report,,23,9,15.5,1.0,1,2,2024,America
0,2023-07-01,18:00,Liga MX,Apertura 2023 Regular Season,Sat,Away,D,1.0,1.0,Atlético,1.8,3.3,46.0,14494.0,Celso Ortiz,4-4-2,Jorge Camacho,Match Report,,16,3,16.6,0.0,0,0,2024,Monterrey
1,2023-07-09,20:00,Liga MX,Apertura 2023 Regular Season,Sun,Home,W,1.0,0.0,Atlas,0.8,0.8,50.0,38156.0,Celso Ortiz,4-4-2,Edgar Morales,Match Report,,9,3,28.2,2.0,0,0,2024,Monterrey
2,2023-07-14,19:00,Liga MX,Apertura 2023 Regular Season,Fri,Away,W,3.0,0.0,Mazatlán,2.6,0.3,62.0,11462.0,Celso Ortiz,4-4-2,Brian Gonzalez,Match Report,,13,4,21.7,0.0,0,1,2024,Monterrey
3,2023-08-27,21:05,Liga MX,Apertura 2023 Regular Season,Sun,Home,L,1.0,2.0,Cruz Azul,1.4,1.3,54.0,42313.0,Héctor Moreno,4-2-3-1,César Arturo Ramos,Match Report,,14,3,17.8,0.0,0,0,2024,Monterrey
4,2023-08-30,20:00,Liga MX,Apertura 2023 Regular Season,Wed,Away,L,0.0,1.0,Toluca,1.2,0.5,50.0,22432.0,Stefan Medina,4-4-2,Diego Montaño,Match Report,,22,6,21.7,3.0,0,0,2024,Monterrey
5,2023-09-03,18:05,Liga MX,Apertura 2023 Regular Season,Sun,Away,W,2.0,1.0,Guadalajara,1.3,0.6,52.0,37738.0,Stefan Medina,4-4-2,Óscar Macias,Match Report,,7,2,16.4,0.0,1,1,2024,Monterrey
6,2023-09-16,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,3.0,1.0,León,1.2,0.8,53.0,41807.0,Stefan Medina,4-4-2,Luis Enrique Santander,Match Report,,9,3,20.3,1.0,1,1,2024,Monterrey
7,2023-09-23,22:05,Liga MX,Apertura 2023 Regular Season,Sat,Away,L,0.0,3.0,UANL,1.0,1.6,53.0,41615.0,Stefan Medina,4-4-2,Marco Antonio Ortíz,Match Report,,10,4,16.9,0.0,0,0,2024,Monterrey
8,2023-10-03,20:00,Liga MX,Apertura 2023 Regular Season,Tue,Away,D,1.0,1.0,Puebla,2.2,0.6,57.0,10263.0,Héctor Moreno,4-4-2,Erick Miranda,Match Report,,26,8,18.7,0.0,0,0,2024,Monterrey
9,2023-10-07,18:00,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,3.0,1.0,FC Juárez,2.0,1.5,58.0,34921.0,Héctor Moreno,4-1-4-1,Daniel Quintero,Match Report,,10,6,20.8,1.0,1,1,2024,Monterrey
10,2023-10-22,13:00,Liga MX,Apertura 2023 Regular Season,Sun,Away,W,1.0,0.0,UNAM,0.3,1.0,48.0,26885.0,Héctor Moreno,4-3-3,Ismael Lopez,Match Report,,6,1,22.9,1.0,0,0,2024,Monterrey
11,2023-10-25,20:00,Liga MX,Apertura 2023 Regular Season,Wed,Home,W,3.0,1.0,Tijuana,1.9,0.4,55.0,31921.0,Maximiliano Meza,4-3-3,Víctor Cáceres,Match Report,,13,5,17.0,0.0,0,0,2024,Monterrey
12,2023-10-28,22:10,Liga MX,Apertura 2023 Regular Season,Sat,Home,L,0.0,3.0,América,0.7,1.0,39.0,47177.0,Maximiliano Meza,4-3-3,Adonai Escobedo,Match Report,,10,1,17.9,0.0,0,0,2024,Monterrey
13,2023-10-31,21:10,Liga MX,Apertura 2023 Regular Season,Tue,Home,W,3.0,0.0,Necaxa,1.0,0.2,70.0,25292.0,Sebastián Vegas,4-2-3-1,Oscar Mejia,Match Report,,16,5,15.1,1.0,0,0,2024,Monterrey
14,2023-11-04,21:00,Liga MX,Apertura 2023 Regular Season,Sat,Away,W,2.0,0.0,Pachuca,0.5,1.3,46.0,19805.0,Maximiliano Meza,4-4-2,Daniel Quintero,Match Report,,8,3,20.4,0.0,0,0,2024,Monterrey
15,2023-11-08,20:00,Liga MX,Apertura 2023 Regular Season,Wed,Home,W,3.0,0.0,Santos,2.0,0.1,52.0,36678.0,Maximiliano Meza,4-1-4-1,Fernando Guerrero,Match Report,,15,5,17.0,0.0,0,0,2024,Monterrey
16,2023-11-11,17:00,Liga MX,Apertura 2023 Regular Season,Sat,Away,D,0.0,0.0,Querétaro,0.8,1.6,64.0,16717.0,Héctor Moreno,4-1-4-1,Víctor Cáceres,Match Report,,17,7,21.3,1.0,0,0,2024,Monterrey
17,2023-11-29,21:10,Liga MX,Apertura — Quarter-finals,Wed,Away,L,0.0,1.0,Atlético,0.6,1.1,45.0,17216.0,Maximiliano Meza,4-1-4-1,Daniel Quintero,Match Report,Leg 1 of 2,16,4,24.2,0.0,0,0,2024,Monterrey
18,2023-12-02,21:10,Liga MX,Apertura — Quarter-finals,Sat,Home,D,1.0,1.0,Atlético,2.0,0.7,60.0,36907.0,Héctor Moreno,4-4-2,Víctor Cáceres,Match Report,Leg 2 of 2; Atlético won,14,1,14.3,0.0,0,0,2024,Monterrey
19,2024-01-13,21:00,Liga MX,Clausura 2024 Regular Season,Sat,Home,W,2.0,0.0,Puebla,2.2,0.8,53.0,33233.0,Héctor Moreno,4-4-2,Guillermo Pacheco,Match Report,,20,6,14.1,0.0,0,0,2024,Monterrey
20,2024-01-21,20:05,Liga MX,Clausura 2024 Regular Season,Sun,Away,W,2.0,0.0,Santos,0.9,1.2,55.0,,Héctor Moreno,4-4-2,Edgar Morales,Match Report,,13,4,21.0,0.0,0,0,2024,Monterrey
21,2024-01-24,19:00,Liga MX,Clausura 2024 Regular Season,Wed,Home,D,1.0,1.0,Querétaro,1.9,0.8,64.0,32263.0,Héctor Moreno,4-4-2,Marco Antonio Ortíz,Match Report,,22,7,19.6,2.0,0,0,2024,Monterrey
22,2024-01-27,19:00,Liga MX,Clausura 2024 Regular Season,Sat,Home,W,3.0,1.0,Atlético,0.7,0.5,43.0,44386.0,Héctor Moreno,4-4-2,Jesus Lopez,Match Report,,12,4,22.4,0.0,0,0,2024,Monterrey
23,2024-02-03,21:10,Liga MX,Clausura 2024 Regular Season,Sat,Away,D,1.0,1.0,América,0.7,1.2,50.0,,Héctor Moreno,4-2-3-1,César Arturo Ramos,Match Report,,8,1,16.6,0.0,0,0,2024,Monterrey
24,2024-02-10,21:10,Liga MX,Clausura 2024 Regular Season,Sat,Home,W,3.0,2.0,Pachuca,2.3,0.7,63.0,,Víctor Guzmán,4-2-3-1,Fernando Hernández,Match Report,,12,4,16.3,0.0,0,0,2024,Monterrey
25,2024-02-18,20:10,Liga MX,Clausura 2024 Regular Season,Sun,Home,D,0.0,0.0,Toluca,1.7,0.2,58.0,,Héctor Moreno,4-2-3-1,Luis Enrique Santander,Match Report,,12,5,13.2,0.0,0,0,2024,Monterrey
26,2024-02-23,20:10,Liga MX,Clausura 2024 Regular Season,Fri,Away,W,3.0,0.0,FC Juárez,2.2,0.4,56.0,,Héctor Moreno,4-2-3-1,Marco Antonio Ortíz,Match Report,,19,6,16.0,0.0,0,0,2024,Monterrey
27,2024-02-28,19:00,Liga MX,Clausura 2024 Regular Season,Wed,Away,D,1.0,1.0,Tijuana,0.8,1.0,54.0,,Héctor Moreno,4-4-2,Oscar Mejia,Match Report,,9,1,18.4,0.0,0,0,2024,Monterrey
28,2024-03-03,19:00,Liga MX,Clausura 2024 Regular Season,Sun,Home,W,3.0,0.0,UNAM,2.6,0.4,60.0,,Héctor Moreno,4-4-2,Víctor Cáceres,Match Report,,23,6,17.9,1.0,0,0,2024,Monterrey
0,2023-07-01,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Home,D,1.0,1.0,Puebla,2.4,0.6,58.0,41615.0,Guido Pizarro,4-2-3-1,Óscar Macias,Match Report,,23,5,21.9,1.0,0,0,2024,UANL
1,2023-07-08,18:06,Liga MX,Apertura 2023 Regular Season,Sat,Away,D,1.0,1.0,FC Juárez,1.9,1.1,60.0,9663.0,Guido Pizarro,4-2-3-1,Jesus Lopez,Match Report,,17,5,17.0,0.0,0,0,2024,UANL
2,2023-07-15,22:05,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,1.0,0.0,León,1.2,1.2,45.0,41615.0,Guido Pizarro,3-4-3,Ismael Lopez,Match Report,,12,6,17.4,1.0,0,0,2024,UANL
3,2023-08-20,22:10,Liga MX,Apertura 2023 Regular Season,Sun,Away,W,3.0,0.0,Necaxa,1.4,1.0,61.0,13585.0,Guido Pizarro,4-2-3-1,Guillermo Pacheco,Match Report,,9,6,18.5,0.0,0,0,2024,UANL
4,2023-08-27,19:05,Liga MX,Apertura 2023 Regular Season,Sun,Away,L,1.0,2.0,UNAM,0.4,1.8,62.0,17580.0,Guido Pizarro,4-2-3-1,Fernando Hernández,Match Report,,8,4,22.9,1.0,0,0,2024,UANL
5,2023-08-30,22:00,Liga MX,Apertura 2023 Regular Season,Wed,Home,W,3.0,2.0,Santos,2.3,1.7,57.0,39134.0,Guido Pizarro,4-2-3-1,Daniel Quintero,Match Report,,17,7,18.4,2.0,0,0,2024,UANL
6,2023-09-02,20:05,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,5.0,0.0,Querétaro,3.5,0.5,60.0,40273.0,Nahuel Guzmán,4-2-3-1,Ismael Lopez,Match Report,,18,5,20.0,0.0,1,1,2024,UANL
7,2023-09-17,20:00,Liga MX,Apertura 2023 Regular Season,Sun,Away,L,0.0,2.0,Atlas,0.6,1.7,62.0,15413.0,Guido Pizarro,4-2-3-1,Adonai Escobedo,Match Report,,13,1,23.6,1.0,0,0,2024,UANL
8,2023-09-23,22:05,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,3.0,0.0,Monterrey,1.6,1.0,47.0,41615.0,Guido Pizarro,3-4-3,Marco Antonio Ortíz,Match Report,,12,3,22.7,0.0,1,1,2024,UANL
9,2023-09-30,19:06,Liga MX,Apertura 2023 Regular Season,Sat,Away,W,3.0,2.0,Mazatlán,2.0,1.8,42.0,13503.0,Rafael Carioca,4-2-3-1,Jesus Lopez,Match Report,,13,8,14.3,0.0,0,0,2024,UANL
10,2023-10-04,22:00,Liga MX,Apertura 2023 Regular Season,Wed,Home,D,2.0,2.0,Toluca,0.8,1.1,57.0,37117.0,Guido Pizarro,4-2-3-1,César Arturo Ramos,Match Report,,14,7,23.5,0.0,0,0,2024,UANL
11,2023-10-07,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Away,D,1.0,1.0,Pachuca,2.1,1.1,62.0,7483.0,Guido Pizarro,4-2-3-1,Ismael Lopez,Match Report,,11,5,17.1,0.0,1,1,2024,UANL
12,2023-10-21,22:10,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,2.0,1.0,Cruz Azul,0.9,0.6,53.0,41615.0,Guido Pizarro,4-2-3-1,Edgar Morales,Match Report,,15,8,20.4,1.0,0,0,2024,UANL
13,2023-10-28,20:05,Liga MX,Apertura 2023 Regular Season,Sat,Away,W,4.0,0.0,Guadalajara,1.3,0.8,48.0,36801.0,Guido Pizarro,4-2-3-1,Fernando Hernández,Match Report,,11,5,19.2,0.0,0,0,2024,UANL
14,2023-11-01,20:06,Liga MX,Apertura 2023 Regular Season,Wed,Away,L,0.0,2.0,Tijuana,0.8,1.0,65.0,24533.0,Guido Pizarro,4-2-3-1,Marco Antonio Ortíz,Match Report,,11,1,19.1,0.0,0,0,2024,UANL
15,2023-11-04,16:55,Liga MX,Apertura 2023 Regular Season,Sat,Home,D,2.0,2.0,Atlético,1.9,0.8,56.0,39416.0,Guido Pizarro,4-2-3-1,Luis Enrique Santander,Match Report,,16,3,17.6,0.0,0,0,2024,UANL
16,2023-11-11,21:10,Liga MX,Apertura 2023 Regular Season,Sat,Home,D,0.0,0.0,América,0.7,1.0,54.0,36783.0,Guido Pizarro,4-2-3-1,Diego Montaño,Match Report,,10,2,13.9,0.0,0,0,2024,UANL
17,2023-11-30,19:00,Liga MX,Apertura — Quarter-finals,Thu,Away,D,2.0,2.0,Puebla,1.8,1.7,57.0,28984.0,Guido Pizarro,4-2-3-1,Oscar Mejia,Match Report,Leg 1 of 2,17,6,12.7,0.0,0,0,2024,UANL
18,2023-12-03,20:10,Liga MX,Apertura — Quarter-finals,Sun,Home,W,3.0,0.0,Puebla,1.9,0.5,46.0,39381.0,Guido Pizarro,4-2-3-1,Adonai Escobedo,Match Report,Leg 2 of 2; UANL won,11,6,22.2,2.0,1,1,2024,UANL
19,2023-12-07,21:00,Liga MX,Apertura — Semi-finals,Thu,Away,W,1.0,0.0,UNAM,0.6,0.5,61.0,44276.0,Guido Pizarro,4-2-3-1,Marco Antonio Ortíz,Match Report,Leg 1 of 2,13,3,20.8,0.0,0,0,2024,UANL
20,2023-12-10,20:00,Liga MX,Apertura — Semi-finals,Sun,Home,D,1.0,1.0,UNAM,0.6,1.6,53.0,41615.0,Guido Pizarro,4-2-3-1,Fernando Guerrero,Match Report,Leg 2 of 2; UANL won,10,2,17.1,0.0,0,0,2024,UANL
21,2023-12-14,21:00,Liga MX,Apertura — Finals,Thu,Home,D,1.0,1.0,América,0.6,1.7,54.0,41615.0,Guido Pizarro,4-2-3-1,Marco Antonio Ortíz,Match Report,Leg 1 of 2,10,5,17.6,1.0,0,0,2024,UANL
22,2023-12-17,19:30,Liga MX,Apertura — Finals,Sun,Away,L,0.0,3.0,América,0.7,2.1,40.0,74957.0,Guido Pizarro,4-1-4-1,Adonai Escobedo,Match Report,Leg 2 of 2; América won; Required Extra Time,9,3,27.4,1.0,0,0,2024,UANL
23,2024-01-17,19:00,Liga MX,Clausura 2024 Regular Season,Wed,Away,W,2.0,1.0,León,1.4,1.5,56.0,,Guido Pizarro,4-1-4-1,Jesus Lopez,Match Report,,12,2,18.1,1.0,0,0,2024,UANL
24,2024-01-21,18:00,Liga MX,Clausura 2024 Regular Season,Sun,Home,W,1.0,0.0,Guadalajara,0.4,0.9,52.0,40283.0,Guido Pizarro,4-1-4-1,Guillermo Pacheco,Match Report,,6,1,21.7,0.0,0,0,2024,UANL
25,2024-01-24,19:00,Liga MX,Clausura 2024 Regular Season,Wed,Away,W,2.0,1.0,Atlético,1.6,1.0,57.0,20089.0,Guido Pizarro,5-3-2,Víctor Cáceres,Match Report,,19,5,21.2,0.0,0,0,2024,UANL
26,2024-01-28,21:00,Liga MX,Clausura 2024 Regular Season,Sun,Away,D,1.0,1.0,Querétaro,2.2,0.6,70.0,14846.0,Guido Pizarro,5-3-2,Ismael Lopez,Match Report,,18,6,18.8,1.0,0,1,2024,UANL
27,2024-02-03,19:05,Liga MX,Clausura 2024 Regular Season,Sat,Home,D,2.0,2.0,UNAM,1.6,0.6,56.0,41036.0,Guido Pizarro,5-4-1,Fernando Hernández,Match Report,,12,4,14.5,0.0,1,1,2024,UANL
28,2024-02-10,21:10,Liga MX,Clausura 2024 Regular Season,Sat,Away,W,3.0,0.0,Santos,2.0,0.9,50.0,,Nahuel Guzmán,4-2-3-1,Oscar Mejia,Match Report,,9,4,21.7,0.0,1,1,2024,UANL
29,2024-02-17,21:05,Liga MX,Clausura 2024 Regular Season,Sat,Away,L,0.0,1.0,Cruz Azul,0.3,1.0,36.0,,Nahuel Guzmán,4-2-3-1,Marco Antonio Ortíz,Match Report,,6,1,14.1,0.0,0,0,2024,UANL
30,2024-02-24,19:00,Liga MX,Clausura 2024 Regular Season,Sat,Home,D,1.0,1.0,Atlas,1.1,1.2,62.0,39762.0,Nahuel Guzmán,4-2-3-1,César Arturo Ramos,Match Report,,16,5,19.8,1.0,0,0,2024,UANL
31,2024-02-28,19:00,Liga MX,Clausura 2024 Regular Season,Wed,Home,W,1.0,0.0,FC Juárez,1.1,1.0,61.0,,Guido Pizarro,4-2-3-1,Jesus Lopez,Match Report,,14,3,16.7,0.0,0,0,2024,UANL
32,2024-03-02,17:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,L,1.0,2.0,Toluca,0.5,2.7,39.0,,Guido Pizarro,4-2-3-1,Adonai Escobedo,Match Report,,4,1,9.5,0.0,0,0,2024,UANL
0,2023-06-30,19:00,Liga MX,Apertura 2023 Regular Season,Fri,Away,D,1.0,1.0,Mazatlán,4.2,1.3,54.0,8479.0,Óscar Ustari,4-4-2,Jesus Lopez,Match Report,,20,7,16.6,1.0,0,1,2024,Pachuca
1,2023-07-10,21:00,Liga MX,Apertura 2023 Regular Season,Mon,Away,L,0.0,4.0,León,1.4,2.3,45.0,15015.0,Óscar Ustari,4-4-2,Jorge Camacho,Match Report,,12,2,17.7,0.0,0,0,2024,Pachuca
2,2023-07-16,21:15,Liga MX,Apertura 2023 Regular Season,Sun,Home,D,1.0,1.0,UNAM,1.1,0.7,53.0,9396.0,Óscar Ustari,3-5-2,Oscar Mejia,Match Report,,21,8,21.4,0.0,0,0,2024,Pachuca
3,2023-08-20,20:06,Liga MX,Apertura 2023 Regular Season,Sun,Away,D,1.0,1.0,Querétaro,1.3,0.6,58.0,6486.0,Gustavo Cabral,4-4-2,Vicente Arce,Match Report,,18,4,24.4,1.0,0,0,2024,Pachuca
4,2023-08-23,20:06,Liga MX,Apertura 2023 Regular Season,Wed,Home,W,1.0,0.0,Cruz Azul,0.8,1.4,32.0,8242.0,Gustavo Cabral,4-4-2,Jesus Lopez,Match Report,,17,4,21.5,2.0,0,0,2024,Pachuca
5,2023-08-28,22:10,Liga MX,Apertura 2023 Regular Season,Mon,Home,L,0.0,2.0,Atlético,0.9,1.7,56.0,8595.0,Gustavo Cabral,4-4-1-1,Jorge Camacho,Match Report,,21,8,20.4,0.0,0,0,2024,Pachuca
6,2023-09-03,13:00,Liga MX,Apertura 2023 Regular Season,Sun,Away,L,0.0,5.0,Toluca,0.4,4.2,34.0,23711.0,Gustavo Cabral,4-4-2,Marco Antonio Ortíz,Match Report,,11,4,22.3,0.0,0,0,2024,Pachuca
7,2023-09-18,22:00,Liga MX,Apertura 2023 Regular Season,Mon,Home,W,3.0,2.0,Santos,1.4,1.7,49.0,4673.0,Gustavo Cabral,4-1-4-1,Fernando Hernández,Match Report,,15,6,17.2,1.0,0,0,2024,Pachuca
8,2023-09-23,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Away,D,0.0,0.0,Guadalajara,0.9,0.7,40.0,31370.0,Gustavo Cabral,4-4-2,César Arturo Ramos,Match Report,,4,0,30.6,0.0,0,1,2024,Pachuca
9,2023-09-30,18:05,Liga MX,Apertura 2023 Regular Season,Sat,Home,D,1.0,1.0,Necaxa,1.9,1.0,72.0,8193.0,Gustavo Cabral,4-3-3,Charles Terrazas,Match Report,,20,7,20.4,1.0,0,0,2024,Pachuca
10,2023-10-03,22:00,Liga MX,Apertura 2023 Regular Season,Tue,Away,L,0.0,4.0,América,0.7,2.9,38.0,30479.0,Gustavo Cabral,5-3-2,Marco Antonio Ortíz,Match Report,,13,5,24.4,1.0,0,0,2024,Pachuca
11,2023-10-07,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Home,D,1.0,1.0,UANL,1.1,2.1,38.0,7483.0,Erick Sánchez,4-4-2,Ismael Lopez,Match Report,,17,8,19.9,2.0,0,0,2024,Pachuca
12,2023-10-20,19:06,Liga MX,Apertura 2023 Regular Season,Fri,Away,W,1.0,0.0,FC Juárez,1.4,1.7,53.0,12078.0,Gustavo Cabral,4-2-3-1,Fernando Guerrero,Match Report,,22,6,18.3,1.0,0,0,2024,Pachuca
